year,age,sex,enrolment_secondary
1984,13 YRS,MF,32924
1984,13 YRS,F,16779
1984,14 YRS,MF,35244
1984,14 YRS,F,17712
1984,15 YRS,MF,37080
1984,15 YRS,F,18563
1984,16 YRS,MF,20252
1984,16 YRS,F,9634
1984,17 YRS,MF,8488
1984,17 YRS,F,3701
1984,18 YRS,MF,124
1984,18 YRS,F,52
1984,19 YRS,MF,39
1984,19 YRS,F,14
1984,20 YRS & OVER,MF,3
1984,20 YRS & OVER,F,0
1984,UNDER 13 YRS,MF,30220
1984,UNDER 13 YRS,F,15469
1985,13 YRS,MF,34392
1985,13 YRS,F,17481
1985,14 YRS,MF,36665
1985,14 YRS,F,18399
1985,15 YRS,MF,35395
1985,15 YRS,F,17764
1985,16 YRS,MF,17265
1985,16 YRS,F,8041
1985,17 YRS,MF,6793
1985,17 YRS,F,3026
1985,18 YRS,MF,478
1985,18 YRS,F,187
1985,19 YRS,MF,32
1985,19 YRS,F,14
1985,20 YRS & OVER,MF,8
1985,20 YRS & OVER,F,1
1985,UNDER 13 YRS,MF,32562
1985,UNDER 13 YRS,F,16624
1986,13 YRS,MF,36407
1986,13 YRS,F,18365
1986,14 YRS,MF,38045
1986,14 YRS,F,18941
1986,15 YRS,MF,36412
1986,15 YRS,F,18291
1986,16 YRS,MF,18051
1986,16 YRS,F,8639
1986,17 YRS,MF,9405
1986,17 YRS,F,4222
1986,18 YRS,MF,2315
1986,18 YRS,F,1012
1986,19 YRS,MF,25
1986,19 YRS,F,10
1986,20 YRS & OVER,MF,16
1986,20 YRS & OVER,F,3
1986,UNDER 13 YRS,MF,32862
1986,UNDER 13 YRS,F,16453
1987,13 YRS,MF,36633
1987,13 YRS,F,18251
1987,14 YRS,MF,39924
1987,14 YRS,F,19788
1987,15 YRS,MF,37622
1987,15 YRS,F,18772
1987,16 YRS,MF,17044
1987,16 YRS,F,8132
1987,17 YRS,MF,7806
1987,17 YRS,F,3392
1987,18 YRS,MF,1936
1987,18 YRS,F,732
1987,19 YRS,MF,32
1987,19 YRS,F,12
1987,20 YRS & OVER,MF,9
1987,20 YRS & OVER,F,2
1987,UNDER 13 YRS,MF,30611
1987,UNDER 13 YRS,F,15299
1988,13 YRS,MF,34262
1988,13 YRS,F,17012
1988,14 YRS,MF,39508
1988,14 YRS,F,19480
1988,15 YRS,MF,39214
1988,15 YRS,F,19569
1988,16 YRS,MF,16409
1988,16 YRS,F,7733
1988,17 YRS,MF,7285
1988,17 YRS,F,3231
1988,18 YRS,MF,1880
1988,18 YRS,F,751
1988,19 YRS,MF,270
1988,19 YRS,F,71
1988,20 YRS & OVER,MF,8
1988,20 YRS & OVER,F,2
1988,UNDER 13 YRS,MF,29267
1988,UNDER 13 YRS,F,14586
1989,13 YRS,MF,32369
1989,13 YRS,F,16064
1989,14 YRS,MF,36682
1989,14 YRS,F,18021
1989,15 YRS,MF,38874
1989,15 YRS,F,19287
1989,16 YRS,MF,16824
1989,16 YRS,F,7971
1989,17 YRS,MF,7294
1989,17 YRS,F,3165
1989,18 YRS,MF,1896
1989,18 YRS,F,821
1989,19 YRS,MF,309
1989,19 YRS,F,99
1989,20 YRS & OVER,MF,57
1989,20 YRS & OVER,F,13
1989,UNDER 13 YRS,MF,31524
1989,UNDER 13 YRS,F,15592
1990,13 YRS,MF,35731
1990,13 YRS,F,17625
1990,14 YRS,MF,34730
1990,14 YRS,F,17141
1990,15 YRS,MF,36248
1990,15 YRS,F,17886
1990,16 YRS,MF,16419
1990,16 YRS,F,7712
1990,17 YRS,MF,7200
1990,17 YRS,F,3166
1990,18 YRS,MF,1718
1990,18 YRS,F,756
1990,19 YRS,MF,163
1990,19 YRS,F,57
1990,20 YRS & OVER,MF,23
1990,20 YRS & OVER,F,6
1990,UNDER 13 YRS,MF,28310
1990,UNDER 13 YRS,F,14082
1991,13 YRS,MF,31542
1991,13 YRS,F,15638
1991,14 YRS,MF,38337
1991,14 YRS,F,18745
1991,15 YRS,MF,34324
1991,15 YRS,F,17042
1991,16 YRS,MF,15087
1991,16 YRS,F,7002
1991,17 YRS,MF,6950
1991,17 YRS,F,3067
1991,18 YRS,MF,1783
1991,18 YRS,F,811
1991,19 YRS,MF,112
1991,19 YRS,F,37
1991,20 YRS & OVER,MF,25
1991,20 YRS & OVER,F,7
1991,UNDER 13 YRS,MF,28586
1991,UNDER 13 YRS,F,14236
1992,13 YRS,MF,32255
1992,13 YRS,F,16018
1992,14 YRS,MF,34192
1992,14 YRS,F,16769
1992,15 YRS,MF,38021
1992,15 YRS,F,18656
1992,16 YRS,MF,14158
1992,16 YRS,F,6573
1992,17 YRS,MF,6068
1992,17 YRS,F,2581
1992,18 YRS,MF,1507
1992,18 YRS,F,685
1992,19 YRS,MF,99
1992,19 YRS,F,36
1992,20 YRS & OVER,MF,16
1992,20 YRS & OVER,F,5
1992,UNDER 13 YRS,MF,29516
1992,UNDER 13 YRS,F,14478
1993,13 YRS,MF,32969
1993,13 YRS,F,16218
1993,14 YRS,MF,35308
1993,14 YRS,F,17428
1993,15 YRS,MF,33890
1993,15 YRS,F,16691
1993,16 YRS,MF,16090
1993,16 YRS,F,7385
1993,17 YRS,MF,5944
1993,17 YRS,F,2596
1993,18 YRS,MF,1420
1993,18 YRS,F,617
1993,19 YRS,MF,97
1993,19 YRS,F,33
1993,20 YRS & OVER,MF,21
1993,20 YRS & OVER,F,6
1993,UNDER 13 YRS,MF,29557
1993,UNDER 13 YRS,F,14803
1994,13 YRS,MF,38992
1994,13 YRS,F,18881
1994,14 YRS,MF,39225
1994,14 YRS,F,18854
1994,15 YRS,MF,35283
1994,15 YRS,F,17455
1994,16 YRS,MF,14102
1994,16 YRS,F,6400
1994,17 YRS,MF,6552
1994,17 YRS,F,2865
1994,18 YRS,MF,1432
1994,18 YRS,F,661
1994,19 YRS,MF,74
1994,19 YRS,F,24
1994,20 YRS & OVER,MF,13
1994,20 YRS & OVER,F,6
1994,UNDER 13 YRS,MF,38261
1994,UNDER 13 YRS,F,18632
1995,13 YRS,MF,40451
1995,13 YRS,F,19525
1995,14 YRS,MF,39931
1995,14 YRS,F,19219
1995,15 YRS,MF,38866
1995,15 YRS,F,18736
1995,16 YRS,MF,14944
1995,16 YRS,F,6914
1995,17 YRS,MF,5992
1995,17 YRS,F,2478
1995,18 YRS,MF,1406
1995,18 YRS,F,608
1995,19 YRS,MF,74
1995,19 YRS,F,34
1995,20 YRS & OVER,MF,7
1995,20 YRS & OVER,F,4
1995,UNDER 13 YRS,MF,39311
1995,UNDER 13 YRS,F,18934
1996,13 YRS,MF,40894
1996,13 YRS,F,19656
1996,14 YRS,MF,40783
1996,14 YRS,F,19671
1996,15 YRS,MF,39140
1996,15 YRS,F,18951
1996,16 YRS,MF,17476
1996,16 YRS,F,7841
1996,17 YRS,MF,6301
1996,17 YRS,F,2827
1996,18 YRS,MF,1484
1996,18 YRS,F,634
1996,19 YRS,MF,80
1996,19 YRS,F,25
1996,20 YRS & OVER,MF,11
1996,20 YRS & OVER,F,6
1996,UNDER 13 YRS,MF,37731
1996,UNDER 13 YRS,F,18239
1997,13 YRS,MF,39108
1997,13 YRS,F,18765
1997,14 YRS,MF,41164
1997,14 YRS,F,19779
1997,15 YRS,MF,40212
1997,15 YRS,F,19465
1997,16 YRS,MF,17269
1997,16 YRS,F,7557
1997,17 YRS,MF,8479
1997,17 YRS,F,3633
1997,18 YRS,MF,1593
1997,18 YRS,F,715
1997,19 YRS,MF,70
1997,19 YRS,F,25
1997,20 YRS & OVER,MF,16
1997,20 YRS & OVER,F,9
1997,UNDER 13 YRS,MF,38841
1997,UNDER 13 YRS,F,18600
1998,13 YRS,MF,39947
1998,13 YRS,F,19087
1998,14 YRS,MF,39051
1998,14 YRS,F,18697
1998,15 YRS,MF,40404
1998,15 YRS,F,19509
1998,16 YRS,MF,11818
1998,16 YRS,F,5166
1998,17 YRS,MF,5211
1998,17 YRS,F,2102
1998,18 YRS,MF,1543
1998,18 YRS,F,712
1998,19 YRS,MF,59
1998,19 YRS,F,24
1998,20 YRS & OVER,MF,10
1998,20 YRS & OVER,F,6
1998,UNDER 13 YRS,MF,39853
1998,UNDER 13 YRS,F,19252
1999,13 YRS,MF,41105
1999,13 YRS,F,19855
1999,14 YRS,MF,40343
1999,14 YRS,F,19308
1999,15 YRS,MF,38952
1999,15 YRS,F,18733
1999,16 YRS,MF,12061
1999,16 YRS,F,5319
1999,17 YRS,MF,2797
1999,17 YRS,F,1049
1999,18 YRS,MF,610
1999,18 YRS,F,223
1999,19 YRS,MF,76
1999,19 YRS,F,43
1999,20 YRS & OVER,MF,12
1999,20 YRS & OVER,F,7
1999,UNDER 13 YRS,MF,36303
1999,UNDER 13 YRS,F,17527
2000,13 YRS,MF,37569
2000,13 YRS,F,18084
2000,14 YRS,MF,41451
2000,14 YRS,F,19990
2000,15 YRS,MF,40153
2000,15 YRS,F,19262
2000,16 YRS,MF,11321
2000,16 YRS,F,4948
2000,17 YRS,MF,2756
2000,17 YRS,F,1097
2000,18 YRS,MF,378
2000,18 YRS,F,156
2000,19 YRS,MF,54
2000,19 YRS,F,25
2000,20 YRS & OVER,MF,13
2000,20 YRS & OVER,F,6
2000,UNDER 13 YRS,MF,41710
2000,UNDER 13 YRS,F,20286
2001,13 YRS,MF,42760
2001,13 YRS,F,20749
2001,14 YRS,MF,37837
2001,14 YRS,F,18180
2001,15 YRS,MF,41228
2001,15 YRS,F,19910
2001,16 YRS,MF,11646
2001,16 YRS,F,5252
2001,17 YRS,MF,2489
2001,17 YRS,F,983
2001,18 YRS,MF,442
2001,18 YRS,F,191
2001,19 YRS,MF,78
2001,19 YRS,F,33
2001,20 YRS & OVER,MF,7
2001,20 YRS & OVER,F,4
2001,UNDER 13 YRS,MF,50594
2001,UNDER 13 YRS,F,24591
2002,13 YRS,MF,52351
2002,13 YRS,F,25361
2002,14 YRS,MF,43205
2002,14 YRS,F,20943
2002,15 YRS,MF,37776
2002,15 YRS,F,18199
2002,16 YRS,MF,11625
2002,16 YRS,F,5346
2002,17 YRS,MF,2478
2002,17 YRS,F,983
2002,18 YRS,MF,513
2002,18 YRS,F,216
2002,19 YRS,MF,121
2002,19 YRS,F,58
2002,20 YRS & OVER,MF,19
2002,20 YRS & OVER,F,8
2002,UNDER 13 YRS,MF,45914
2002,UNDER 13 YRS,F,22165
2003,13 YRS,MF,47116
2003,13 YRS,F,22697
2003,14 YRS,MF,52839
2003,14 YRS,F,25599
2003,15 YRS,MF,43294
2003,15 YRS,F,21033
2003,16 YRS,MF,11325
2003,16 YRS,F,5097
2003,17 YRS,MF,2281
2003,17 YRS,F,949
2003,18 YRS,MF,529
2003,18 YRS,F,216
2003,19 YRS,MF,137
2003,19 YRS,F,63
2003,20 YRS & OVER,MF,26
2003,20 YRS & OVER,F,15
2003,UNDER 13 YRS,MF,48879
2003,UNDER 13 YRS,F,23699
2004,13 YRS,MF,50327
2004,13 YRS,F,24350
2004,14 YRS,MF,47683
2004,14 YRS,F,22972
2004,15 YRS,MF,52907
2004,15 YRS,F,25664
2004,16 YRS,MF,12376
2004,16 YRS,F,5768
2004,17 YRS,MF,2334
2004,17 YRS,F,977
2004,18 YRS,MF,533
2004,18 YRS,F,262
2004,19 YRS,MF,164
2004,19 YRS,F,75
2004,20 YRS & OVER,MF,20
2004,20 YRS & OVER,F,10
2004,UNDER 13 YRS,MF,47190
2004,UNDER 13 YRS,F,23058
2005,13 YRS,MF,48434
2005,13 YRS,F,23577
2005,14 YRS,MF,50957
2005,14 YRS,F,24650
2005,15 YRS,MF,47967
2005,15 YRS,F,23157
2005,16 YRS,MF,15037
2005,16 YRS,F,6919
2005,17 YRS,MF,2757
2005,17 YRS,F,1154
2005,18 YRS,MF,568
2005,18 YRS,F,260
2005,19 YRS,MF,144
2005,19 YRS,F,72
2005,20 YRS & OVER,MF,20
2005,20 YRS & OVER,F,6
2005,UNDER 13 YRS,MF,47179
2005,UNDER 13 YRS,F,23020
2006,13 YRS,MF,48552
2006,13 YRS,F,23606
2006,14 YRS,MF,49077
2006,14 YRS,F,23848
2006,15 YRS,MF,51520
2006,15 YRS,F,24946
2006,16 YRS,MF,14058
2006,16 YRS,F,6506
2006,17 YRS,MF,3253
2006,17 YRS,F,1413
2006,18 YRS,MF,649
2006,18 YRS,F,302
2006,19 YRS,MF,151
2006,19 YRS,F,68
2006,20 YRS & OVER,MF,21
2006,20 YRS & OVER,F,5
2006,UNDER 13 YRS,MF,47816
2006,UNDER 13 YRS,F,23272
2007,13 YRS,MF,49585
2007,13 YRS,F,24072
2007,14 YRS,MF,49910
2007,14 YRS,F,24205
2007,15 YRS,MF,50404
2007,15 YRS,F,24486
2007,16 YRS,MF,15978
2007,16 YRS,F,7233
2007,17 YRS,MF,3695
2007,17 YRS,F,1576
2007,18 YRS,MF,812
2007,18 YRS,F,386
2007,19 YRS,MF,192
2007,19 YRS,F,84
2007,20 YRS & OVER,MF,20
2007,20 YRS & OVER,F,10
2007,UNDER 13 YRS,MF,47466
2007,UNDER 13 YRS,F,23082
2008,13 YRS,MF,49432
2008,13 YRS,F,24003
2008,14 YRS,MF,50632
2008,14 YRS,F,24583
2008,15 YRS,MF,50907
2008,15 YRS,F,24710
2008,16 YRS,MF,14480
2008,16 YRS,F,6677
2008,17 YRS,MF,3819
2008,17 YRS,F,1639
2008,18 YRS,MF,935
2008,18 YRS,F,434
2008,19 YRS,MF,186
2008,19 YRS,F,86
2008,20 YRS & OVER,MF,24
2008,20 YRS & OVER,F,6
2008,UNDER 13 YRS,MF,46666
2008,UNDER 13 YRS,F,22527
2009,13 YRS,MF,48673
2009,13 YRS,F,23412
2009,14 YRS,MF,50686
2009,14 YRS,F,24652
2009,15 YRS,MF,51807
2009,15 YRS,F,25186
2009,16 YRS,MF,15306
2009,16 YRS,F,7029
2009,17 YRS,MF,3124
2009,17 YRS,F,1338
2009,18 YRS,MF,1012
2009,18 YRS,F,473
2009,19 YRS,MF,224
2009,19 YRS,F,100
2009,20 YRS & OVER,MF,22
2009,20 YRS & OVER,F,8
2009,UNDER 13 YRS,MF,46376
2009,UNDER 13 YRS,F,22428
2010,13 YRS,MF,48563
2010,13 YRS,F,23466
2010,14 YRS,MF,49740
2010,14 YRS,F,23949
2010,15 YRS,MF,51588
2010,15 YRS,F,25195
2010,16 YRS,MF,14972
2010,16 YRS,F,6931
2010,17 YRS,MF,3399
2010,17 YRS,F,1447
2010,18 YRS,MF,851
2010,18 YRS,F,383
2010,19 YRS,MF,238
2010,19 YRS,F,107
2010,20 YRS & OVER,MF,18
2010,20 YRS & OVER,F,8
2010,UNDER 13 YRS,MF,45019
2010,UNDER 13 YRS,F,21793
2011,13 YRS,MF,47236
2011,13 YRS,F,22823
2011,14 YRS,MF,49819
2011,14 YRS,F,24115
2011,15 YRS,MF,50711
2011,15 YRS,F,24477
2011,16 YRS,MF,14681
2011,16 YRS,F,6978
2011,17 YRS,MF,3210
2011,17 YRS,F,1433
2011,18 YRS,MF,776
2011,18 YRS,F,344
2011,19 YRS,MF,191
2011,19 YRS,F,80
2011,20 YRS & OVER,MF,21
2011,20 YRS & OVER,F,6
2011,UNDER 13 YRS,MF,41329
2011,UNDER 13 YRS,F,20090
2012,13 YRS,MF,43466
2012,13 YRS,F,21106
2012,14 YRS,MF,48216
2012,14 YRS,F,23321
2012,15 YRS,MF,50407
2012,15 YRS,F,24461
2012,16 YRS,MF,14726
2012,16 YRS,F,6900
2012,17 YRS,MF,3211
2012,17 YRS,F,1519
2012,18 YRS,MF,694
2012,18 YRS,F,288
2012,19 YRS,MF,137
2012,19 YRS,F,58
2012,20 YRS & OVER,MF,24
2012,20 YRS & OVER,F,10
2012,UNDER 13 YRS,MF,41639
2012,UNDER 13 YRS,F,20060
2013,13 YRS,MF,43450
2013,13 YRS,F,20880
2013,14 YRS,MF,44159
2013,14 YRS,F,21427
2013,15 YRS,MF,48530
2013,15 YRS,F,23491
2013,16 YRS,MF,12469
2013,16 YRS,F,6036
2013,17 YRS,MF,2636
2013,17 YRS,F,1232
2013,18 YRS,MF,635
2013,18 YRS,F,313
2013,19 YRS,MF,101
2013,19 YRS,F,37
2013,20 YRS & OVER,MF,13
2013,20 YRS & OVER,F,5
2013,UNDER 13 YRS,MF,45172
2013,UNDER 13 YRS,F,21796
2014,13 YRS,MF,47056
2014,13 YRS,F,22652
2014,14 YRS,MF,44160
2014,14 YRS,F,21211
2014,15 YRS,MF,44426
2014,15 YRS,F,21565
2014,16 YRS,MF,11610
2014,16 YRS,F,5491
2014,17 YRS,MF,2288
2014,17 YRS,F,1039
2014,18 YRS,MF,544
2014,18 YRS,F,249
2014,19 YRS,MF,109
2014,19 YRS,F,44
2014,20 YRS & OVER,MF,4
2014,20 YRS & OVER,F,2
2014,UNDER 13 YRS,MF,39910
2014,UNDER 13 YRS,F,19411
2015,13 YRS,MF,41587
2015,13 YRS,F,20169
2015,14 YRS,MF,47723
2015,14 YRS,F,22967
2015,15 YRS,MF,44339
2015,15 YRS,F,21317
2015,16 YRS,MF,10335
2015,16 YRS,F,4854
2015,17 YRS,MF,2085
2015,17 YRS,F,933
2015,18 YRS,MF,411
2015,18 YRS,F,184
2015,19 YRS,MF,66
2015,19 YRS,F,35
2015,20 YRS & OVER,MF,7
2015,20 YRS & OVER,F,3
2015,UNDER 13 YRS,MF,39483
2015,UNDER 13 YRS,F,19326
2016,13 YRS,MF,41011
2016,13 YRS,F,20022
2016,14 YRS,MF,42044
2016,14 YRS,F,20387
2016,15 YRS,MF,47901
2016,15 YRS,F,23070
2016,16 YRS,MF,9778
2016,16 YRS,F,4673
2016,17 YRS,MF,1741
2016,17 YRS,F,767
2016,18 YRS,MF,329
2016,18 YRS,F,138
2016,19 YRS,MF,52
2016,19 YRS,F,17
2016,20 YRS & OVER,MF,5
2016,20 YRS & OVER,F,5
2016,UNDER 13 YRS,MF,37139
2016,UNDER 13 YRS,F,18171
2017,13 YRS,MF,38203
2017,13 YRS,F,18642
2017,14 YRS,MF,41381
2017,14 YRS,F,20185
2017,15 YRS,MF,42214
2017,15 YRS,F,20452
2017,16 YRS,MF,10465
2017,16 YRS,F,4851
2017,17 YRS,MF,1686
2017,17 YRS,F,734
2017,18 YRS,MF,265
2017,18 YRS,F,95
2017,19 YRS,MF,47
2017,19 YRS,F,20
2017,20 YRS & OVER,MF,3
2017,20 YRS & OVER,F,1
2017,UNDER 13 YRS,MF,37156
2017,UNDER 13 YRS,F,18088
2018,UNDER 13 YRS,MF,37274
2018,UNDER 13 YRS,F,18235
2018,13 YRS,MF,38221
2018,13 YRS,F,18535
2018,14 YRS,MF,38445
2018,14 YRS,F,18768
2018,15 YRS,MF,41480
2018,15 YRS,F,20225
2018,16 YRS,MF,8091
2018,16 YRS,F,3766
2018,17 YRS,MF,1594
2018,17 YRS,F,709
2018,18 YRS,MF,213
2018,18 YRS,F,92
2018,19 YRS,MF,26
2018,19 YRS,F,8
2018,20 YRS & OVER,MF,3
2018,20 YRS & OVER,F,2
