year,level_1,level_2,level_3,value
2015,Total,Total,"Total",126808
2015,Total,Males,"Total",59913
2015,Total,Females,"Total",66895
2015,Filipino,Total,"Total",34058
2015,Filipino,Males,"Total",15174
2015,Filipino,Females,"Total",18884
2015,Caucasian,Total,"Total",29290
2015,Caucasian,Males,"Total",17703
2015,Caucasian,Females,"Total",11587
2015,Eurasian,Total,"Total",16903
2015,Eurasian,Males,"Total",8416
2015,Eurasian,Females,"Total",8487
2015,Arab,Total,"Total",8642
2015,Arab,Males,"Total",4432
2015,Arab,Females,"Total",4210
2015,Thai,Total,"Total",6023
2015,Thai,Males,"Total",803
2015,Thai,Females,"Total",5220
2015,Japanese,Total,"Total",5380
2015,Japanese,Males,"Total",2194
2015,Japanese,Females,"Total",3186
2015,Others,Total,"Total",26512
2015,Others,Males,"Total",11191
2015,Others,Females,"Total",15321